user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,method
Как называется инструмент визуального моделирования в среде Scilab?,"['Файл Сохранить как бавьте к диаграмме, состоящей из генератора, осциллографа и счётчика времени, блок INTEGRAL\\_f (интегратор) из палитры Системы с непрерывным временем и блок MUX (мультиплексор) из палитры Маршрутизация сигналов . 1/s MUX\n\nСохраните вашу диаграмму под другим именем: → . До-\n\nПодключите выход генератора к первому входу мультиплексора и ко входу интегратора, выход интегратора - ко второму входу мультиплексора и, наконец, выход мультиплексора ко входу осциллографа.\n\nВходы блоков можно подключать к уже существующим соединительным линиям. Разрешённые соединения подсвечиваются зелёным.\n\nСоединительные линии могут иметь любую конфигурацию. В процессе создания соединения нажатие ЛКМ добавляет новый узел. Создать новый узел для изменения вида уже существующего соединения можно двойным ЛКМ по соединительной линии.\n\nРис. 7. Использование CSCOPE\n\n<!-- image -->', '## ФГОБУ ВПО ПГУТИ кафедра ТОРС\n\n## Методическая разработка\n\nк лабораторным работам по курсу\n\n## Основы современных технологий беспроводной связи (ОСТБС)\n\nдля студентов дневной формы обучения специальности 11.03.02 (210700.62)\n\n## Визуальное моделирование в Scilab: Xcos\n\n(краткое руководство для начала работы)\n\nСоставитель:\n\nк.т.н. Чингаева А. М.\n\nРедактор:\n\nд.т.н., проф. Николаев Б. И.\n\nДанное руководство предназначено для быстрого освоения Xcos - инструмента визуального моделирования Scilab. В руководстве описаны основные принципы построения диаграммы Xcos и на конкретных примерах рассмотрена работа базовых блоков, необходимых для моделирования систем радиосвязи. Основные сведения об изученных блоках сведены в справку в конце руководства.\n\n## 1 Начало работы\n\n## 1.1 Простейшая диаграмма\n\nДля построения блочной диаграммы используется графический редактор Xcos: Главное меню → Инструменты → Визуальное моделирование Xcos .\n\nРис. 1. Командное окно Scilab\n\n<!-- image -->', 'Загрузить сохранённую диаграмму можно через Файл → Открыть или Файл → Последние файлы .\n\n## 1.3 Основные понятия\n\nЛюбая диаграмма Xcos содержит два типа соединений: регулярные (чёрные) и управляющие (красные). По регулярным соединениям передаются сигналы данных, а по управляющим - сигналы активации. Блоки также могут иметь регулярные и управляющие входы и выходы. Как правило регулярные входы и выходы блоков располагаются слева и справа от изображения блока, а управляющие сверху и снизу.\n\nЕсли блок имеет управляющий вход, то он «срабатывает» каждый раз, когда на него поступает сигнал активации. Поведение блока, не имеющего управляющего входа, определяется его внутренними параметрами.\n\nВ качестве основного источника сигналов активации мы будем использовать счётчик времени SampleCLK . Его особенность заключается в том, что все такие счётчики внутри одной диаграммы синхронизированы.']",Инструмент визуального моделирования в среде Scilab называется **Xcos**.,Инструмент называется Xcos.,1.0,0.7797229447775128,0.5833333333041666,1.0,Recursive
"Когда срабатывает блок, имеющий управляющий вход?","['В качестве основного источника сигналов активации мы будем использовать счётчик времени SampleCLK . Его особенность заключается в том, что все такие счётчики внутри одной диаграммы синхронизированы.\n\nБлок может наследовать сигнал активации от предыдущего блока, т.е. срабатывать при поступлении на его регулярный вход сигнала данных. Также, блок может быть активным всегда (например, генератор гармонического сигнала).\n\nПосле «срабатывания» блока значения на его выходе остаются неизменными до следующего момента активации.\n\nБлок без входов, не получающий сигналов активации и не объявленный активным всегда, является константным блоком. Выход такого блока не зависит от времени, а сам блок «срабатывает» лишь единожды, на этапе инициализации.', 'Загрузить сохранённую диаграмму можно через Файл → Открыть или Файл → Последние файлы .\n\n## 1.3 Основные понятия\n\nЛюбая диаграмма Xcos содержит два типа соединений: регулярные (чёрные) и управляющие (красные). По регулярным соединениям передаются сигналы данных, а по управляющим - сигналы активации. Блоки также могут иметь регулярные и управляющие входы и выходы. Как правило регулярные входы и выходы блоков располагаются слева и справа от изображения блока, а управляющие сверху и снизу.\n\nЕсли блок имеет управляющий вход, то он «срабатывает» каждый раз, когда на него поступает сигнал активации. Поведение блока, не имеющего управляющего входа, определяется его внутренними параметрами.\n\nВ качестве основного источника сигналов активации мы будем использовать счётчик времени SampleCLK . Его особенность заключается в том, что все такие счётчики внутри одной диаграммы синхронизированы.', 'Для построения блочной диаграммы используется графический редактор Xcos: Главное меню → Инструменты → Визуальное моделирование Xcos .\n\nРис. 1. Командное окно Scilab\n\n<!-- image -->\n\nРис. 2. Графический редактор Xcos\n\n<!-- image -->\n\nПосле запуска Xcos обычно отображаются два окна: окно Палитры блоков и окно графического редактора. Если окно Палитры блоков отсутствует, его необ-\n\nходимо отобразить, выбрав Вид → Палитры блоков в главном меню окна графического редактора Xcos.\n\nВ окне Палитры блоков представлены группы блоков, из которых строится диаграмма Xcos. Выделив нужную группу левым кликом мыши (ЛКМ), вы увидите графические изображения входящих в неё блоков. Правый клик мыши (ПКМ) на изображении блока вызывает контекстное меню, через которое можно добавить выбранный блок к диаграмме или вызвать справку по данному блоку. Добавить выбранный блок к диаграмме можно также просто перетащив его мышью.']","Блок, имеющий управляющий вход, срабатывает каждый раз, когда на него поступает сигнал активации. Этот сигнал может быть передан через управляющие соединения (красные линии) и может исходить, например, от счётчика времени SampleCLK или от другого блока, генерирующего сигнал активации.",Каждый раз при поступлении на него сигнала активации.,1.0,0.5157419502707583,0.99999999995,1.0,Recursive
Какую функцию выполняет блок ENDBLK?,"['В качестве основного источника сигналов активации мы будем использовать счётчик времени SampleCLK . Его особенность заключается в том, что все такие счётчики внутри одной диаграммы синхронизированы.\n\nБлок может наследовать сигнал активации от предыдущего блока, т.е. срабатывать при поступлении на его регулярный вход сигнала данных. Также, блок может быть активным всегда (например, генератор гармонического сигнала).\n\nПосле «срабатывания» блока значения на его выходе остаются неизменными до следующего момента активации.\n\nБлок без входов, не получающий сигналов активации и не объявленный активным всегда, является константным блоком. Выход такого блока не зависит от времени, а сам блок «срабатывает» лишь единожды, на этапе инициализации.', 'Для построения блочной диаграммы используется графический редактор Xcos: Главное меню → Инструменты → Визуальное моделирование Xcos .\n\nРис. 1. Командное окно Scilab\n\n<!-- image -->\n\nРис. 2. Графический редактор Xcos\n\n<!-- image -->\n\nПосле запуска Xcos обычно отображаются два окна: окно Палитры блоков и окно графического редактора. Если окно Палитры блоков отсутствует, его необ-\n\nходимо отобразить, выбрав Вид → Палитры блоков в главном меню окна графического редактора Xcos.\n\nВ окне Палитры блоков представлены группы блоков, из которых строится диаграмма Xcos. Выделив нужную группу левым кликом мыши (ЛКМ), вы увидите графические изображения входящих в неё блоков. Правый клик мыши (ПКМ) на изображении блока вызывает контекстное меню, через которое можно добавить выбранный блок к диаграмме или вызвать справку по данному блоку. Добавить выбранный блок к диаграмме можно также просто перетащив его мышью.', 'Рис. 4. Окно изменения параметров блока\n\n<!-- image -->\n\nОстановите моделирование и обратите внимание на график сигнала. Синусоида на нём выглядит «рваной». Чтобы сделать её более гладкой, надо уменьшить интевал взятия отсчётов. Для этого обратитесь к счётчику времени и измените параметр Sample time (интервал дискретизации), сделав его равным 0.1 . Запустите моделирование.\n\nЗначение параметра может быть любой инструкцией, понятной Scilab. Вызовите окно изменения параметров генератора синусоиды и установите значение параметра Frequency (rad/s) (частота, рад/с) равным 2*%pi/5 .\n\n## 1.5 Время моделирования\n\nВыберите палитру Обработка событий и добавьте к диаграмме блок ENDBLK . Установите параметр блока Final simulation time (конечное время моделирования) равным 30 . Запустите моделирование. END']","Блок ENDBLK используется для задания конечного времени моделирования. Его параметр **Final simulation time** определяет момент, в который симуляция будет остановлена. Например, при установке значения 30 симуляция завершится через 30 единиц времени (например, секунд). Таким образом, блок ENDBLK управляет продолжительностью моделирования, указывая, когда должно закончиться вычисление.",Задаёт конечное время моделирования.,0.75,0.6581762560634727,0.3333333333,1.0,Recursive
Как называется инструмент визуального моделирования в среде Scilab?,"['), вектор - как множество сигналов.\n\nФайл Сохранить как бавьте к диаграмме, состоящей из генератора, осциллографа и счётчика времени, блок INTEGRAL\\_f (интегратор) из палитры Системы с непрерывным временем и блок MUX (мультиплексор) из палитры Маршрутизация сигналов . 1/s MUX\n\nСохраните вашу диаграмму под другим именем: → . До-\n\nПодключите выход генератора к первому входу мультиплексора и ко входу интегратора, выход интегратора - ко второму входу мультиплексора и, наконец, выход мультиплексора ко входу осциллографа.\n\nВходы блоков можно подключать к уже существующим соединительным линиям. Разрешённые соединения подсвечиваются зелёным.\n\nСоединительные линии могут иметь любую конфигурацию. В процессе создания соединения нажатие ЛКМ добавляет новый узел. Создать новый узел для изменения вида уже существующего соединения можно двойным ЛКМ по соединительной линии.\n\nРис. 7. Использование CSCOPE\n\n<!-- image -->\n\nМультиплексор в данном примере объединяет два скаляра на своих входах в один вектор из двух элементов. Осциллограф рассматривает элементы вектора как точки отдельных сигналов и', 'опускает изменение параметров).\n\nВызовите окно Ввод значений для осциллографа на вашей диаграмме. Поменяйте значения переменных Ymin и Ymax , установив их равными -2 и 2 соответственно. Запустите моделирование.\n\nРис. 4. Окно изменения параметров блока\n\n<!-- image -->\n\nОстановите моделирование и обратите внимание на график сигнала. Синусоида на нём выглядит «рваной». Чтобы сделать её более гладкой, надо уменьшить интевал взятия отсчётов. Для этого обратитесь к счётчику времени и измените параметр Sample time (интервал дискретизации), сделав его равным 0.1 . Запустите моделирование.\n\nЗначение параметра может быть любой инструкцией, понятной Scilab. Вызовите окно изменения параметров генератора синусоиды и установите значение параметра Frequency (rad/s) (частота, рад/с) равным 2*%pi/5 .\n\n## 1.5 Время моделирования\n\nВыберите палитру Обработка событий и добавьте к диаграмме блок ENDBLK . Установите параметр блока Final simulation time (конечное время моделирования) равным 30 . Запустите моделирование. END\n\nДругой способ задания конечного времени моделирования - выбрать пункт Моделирование → Установка в главном меню графического редактора и установить параметр Конечное время интегрирования равным нужному значению.\n\nРис. 5. Окно изменения параметров мод', '## ФГОБУ ВПО ПГУТИ кафедра ТОРС\n\n## Методическая разработка\n\nк лабораторным работам по курсу\n\n## Основы современных технологий беспроводной связи (ОСТБС)\n\nдля студентов дневной формы обучения специальности 11.03.02 (210700.62)\n\n## Визуальное моделирование в Scilab: Xcos\n\n(краткое руководство для начала работы)\n\nСоставитель:\n\nк.т.н. Чингаева А. М.\n\nРедактор:\n\nд.т.н., проф. Николаев Б. И.\n\nДанное руководство предназначено для быстрого освоения Xcos - инструмента визуального моделирования Scilab. В руководстве описаны основные принципы построения диаграммы Xcos и на конкретных примерах рассмотрена работа базовых блоков, необходимых для моделирования систем радиосвязи. Основные сведения об изученных блоках сведены в справку в конце руководства.\n\n## 1 Начало работы\n\n## 1.1 Простейшая диаграмма\n\nДля построения блочной диаграммы используется графический редактор Xcos: Главное меню → Инструменты → Визуальное моделирование Xcos .\n\nРис. 1. Командное окно Scilab\n\n<!-- image -->\n\nРис. 2. Графический редактор Xcos\n\n<!-- image -->\n\nПосле запуска Xcos обычно отображаются два окна: окно Палитры блоков и окно графического редак']","Инструмент визуального моделирования в среде Scilab называется **Xcos**. Это подтверждается в контексте, где упоминается: ""Для построения блочной диаграммы используется графический редактор Xcos"" и ""Визуальное моделирование в Scilab: Xcos (краткое руководство для начала работы)"".",Инструмент называется Xcos.,1.0,0.7797229447775128,0.3333333333,1.0,Token
"Когда срабатывает блок, имеющий управляющий вход?","['дущего блока, т.е. срабатывать при поступлении на его регулярный вход сигнала данных. Также, блок может быть активным всегда (например, генератор гармонического сигнала).\n\nПосле «срабатывания» блока значения на его выходе остаются неизменными до следующего момента активации.\n\nБлок без входов, не получающий сигналов активации и не объявленный активным всегда, является константным блоком. Выход такого блока не зависит от времени, а сам блок «срабатывает» лишь единожды, на этапе инициализации.\n\nТаким образом, выходные значения константных блоков не изменяются никогда, как бы часто вы к ним ни обращались. Выходные значения блоков, активных всегда, будут меняться так часто, как часто вы будете их запрашивать. В остальных случаях выходные значения будут меняться так часто, как часто блок будет получать сигнал активации: от входа активации или наследовать от предыдущего блока.\n\n## 1.4 Изменение параметров блока\n\nДвойной ЛКМ (или ПКМ и выбор в контекстном меню пункта Параметры блока ) на блоке в окне графического редактора вызывает окно Ввод значений .\n\nЭто окно позволяет менять параметры блока (если блок допускает изменение параметров).\n\nВызовите окно Ввод значений для осциллографа на вашей диаграмме. Поменяйте значения переменных Ymin и', '## ФГОБУ ВПО ПГУТИ кафедра ТОРС\n\n## Методическая разработка\n\nк лабораторным работам по курсу\n\n## Основы современных технологий беспроводной связи (ОСТБС)\n\nдля студентов дневной формы обучения специальности 11.03.02 (210700.62)\n\n## Визуальное моделирование в Scilab: Xcos\n\n(краткое руководство для начала работы)\n\nСоставитель:\n\nк.т.н. Чингаева А. М.\n\nРедактор:\n\nд.т.н., проф. Николаев Б. И.\n\nДанное руководство предназначено для быстрого освоения Xcos - инструмента визуального моделирования Scilab. В руководстве описаны основные принципы построения диаграммы Xcos и на конкретных примерах рассмотрена работа базовых блоков, необходимых для моделирования систем радиосвязи. Основные сведения об изученных блоках сведены в справку в конце руководства.\n\n## 1 Начало работы\n\n## 1.1 Простейшая диаграмма\n\nДля построения блочной диаграммы используется графический редактор Xcos: Главное меню → Инструменты → Визуальное моделирование Xcos .\n\nРис. 1. Командное окно Scilab\n\n<!-- image -->\n\nРис. 2. Графический редактор Xcos\n\n<!-- image -->\n\nПосле запуска Xcos обычно отображаются два окна: окно Палитры блоков и окно графического редак', ' S для экономии времени. Всегда сохраняйте диаграммы только в своей папке !\n\nЗагрузить сохранённую диаграмму можно через Файл → Открыть или Файл → Последние файлы .\n\n## 1.3 Основные понятия\n\nЛюбая диаграмма Xcos содержит два типа соединений: регулярные (чёрные) и управляющие (красные). По регулярным соединениям передаются сигналы данных, а по управляющим - сигналы активации. Блоки также могут иметь регулярные и управляющие входы и выходы. Как правило регулярные входы и выходы блоков располагаются слева и справа от изображения блока, а управляющие сверху и снизу.\n\nЕсли блок имеет управляющий вход, то он «срабатывает» каждый раз, когда на него поступает сигнал активации. Поведение блока, не имеющего управляющего входа, определяется его внутренними параметрами.\n\nВ качестве основного источника сигналов активации мы будем использовать счётчик времени SampleCLK . Его особенность заключается в том, что все такие счётчики внутри одной диаграммы синхронизированы.\n\nБлок может наследовать сигнал активации от предыдущего блока, т.е. срабатывать при поступлении на его регулярный вход сигнала данных. Также, блок может быть активным']","Блок, имеющий управляющий вход, срабатывает каждый раз, когда на его управляющий вход поступает сигнал активации.",Каждый раз при поступлении на него сигнала активации.,0.5,0.3972290478317337,0.8333333332916666,1.0,Token
Какую функцию выполняет блок ENDBLK?,"[' S для экономии времени. Всегда сохраняйте диаграммы только в своей папке !\n\nЗагрузить сохранённую диаграмму можно через Файл → Открыть или Файл → Последние файлы .\n\n## 1.3 Основные понятия\n\nЛюбая диаграмма Xcos содержит два типа соединений: регулярные (чёрные) и управляющие (красные). По регулярным соединениям передаются сигналы данных, а по управляющим - сигналы активации. Блоки также могут иметь регулярные и управляющие входы и выходы. Как правило регулярные входы и выходы блоков располагаются слева и справа от изображения блока, а управляющие сверху и снизу.\n\nЕсли блок имеет управляющий вход, то он «срабатывает» каждый раз, когда на него поступает сигнал активации. Поведение блока, не имеющего управляющего входа, определяется его внутренними параметрами.\n\nВ качестве основного источника сигналов активации мы будем использовать счётчик времени SampleCLK . Его особенность заключается в том, что все такие счётчики внутри одной диаграммы синхронизированы.\n\nБлок может наследовать сигнал активации от предыдущего блока, т.е. срабатывать при поступлении на его регулярный вход сигнала данных. Также, блок может быть активным', 'расным входом осциллографа. Счётчик используется для периодической активации осциллографа с заданным временным интервалом. 向\n\nСоединительные линии проводятся от выхода к входу (или наоборот) при зажатой ЛКМ. Разрешённые соединения подсвечиваются зелёным. Для удаления соединительной линии выделите её и нажмите Delete .\n\n<!-- image -->\n\n(а) Диаграмма\n\n785\n\n790\n\nGraphic 1\n\n795\n\n800\n\n805\n\nt\n\n(б) Результат моделирования\n\nРис. 3. Простейшая диаграмма\n\nДля запуска моделирования выберите Моделирование → Выполнить в главном меню редактора или просто нажмите на соответствующую кнопку в панели инструментов. Для остановки моделирования выберите Моделирование → Завершить или же воспользуйтесь соответствующей кнопкой в панели инструментов.\n\n①ain HcTpyMeHTbl paBKa CnpaBKa\n\n?\n\npaΦWyecKoe oKHo 20001\n\n15\n\n10\n\n5\n\n5\n\nOT-\n\n-15\n\n780\n\n810\n\n## 1.2 Сохранение и загрузка\n\nСохраните текущую диаграмму, выбрав Файл → Сохранить в главном меню окна графического редактора. Сохраняйтесь чаще ! Используйте «горячие» клавиши Ctrl + S для экономии времени. Всегда сохраняйте диаграммы только в своей папке !\n\nЗагрузить сохранённую диаграмму можно через Ф', 'дущего блока, т.е. срабатывать при поступлении на его регулярный вход сигнала данных. Также, блок может быть активным всегда (например, генератор гармонического сигнала).\n\nПосле «срабатывания» блока значения на его выходе остаются неизменными до следующего момента активации.\n\nБлок без входов, не получающий сигналов активации и не объявленный активным всегда, является константным блоком. Выход такого блока не зависит от времени, а сам блок «срабатывает» лишь единожды, на этапе инициализации.\n\nТаким образом, выходные значения константных блоков не изменяются никогда, как бы часто вы к ним ни обращались. Выходные значения блоков, активных всегда, будут меняться так часто, как часто вы будете их запрашивать. В остальных случаях выходные значения будут меняться так часто, как часто блок будет получать сигнал активации: от входа активации или наследовать от предыдущего блока.\n\n## 1.4 Изменение параметров блока\n\nДвойной ЛКМ (или ПКМ и выбор в контекстном меню пункта Параметры блока ) на блоке в окне графического редактора вызывает окно Ввод значений .\n\nЭто окно позволяет менять параметры блока (если блок допускает изменение параметров).\n\nВызовите окно Ввод значений для осциллографа на вашей диаграмме. Поменяйте значения переменных Ymin и']","В предоставленном контексте не упоминается блок **ENDBLK** или его функция. Информация, связанная с типами блоков, их активацией, параметрами и соединениями, охватывает другие элементы (например, счётчик времени `SampleCLK`, константные блоки, осциллограф), но блок `ENDBLK` не описан. Для получения подробной информации о данном блоке требуется дополнительный источник данных.",Задаёт конечное время моделирования.,0.6666666666666666,0.6239102019537414,0.0,0.0,Token
Как называется инструмент визуального моделирования в среде Scilab?,"['[Визуальное моделирование в Scilab: Xcos]\n(краткое руководство для начала работы)  \nСоставитель:  \nк.т.н. Чингаева А. М.  \nРедактор:  \nд.т.н., проф. Николаев Б. И.  \nДанное руководство предназначено для быстрого освоения Xcos - инструмента визуального моделирования Scilab. В руководстве описаны основные принципы построения диаграммы Xcos и на конкретных примерах рассмотрена работа базовых блоков, необходимых для моделирования систем радиосвязи. Основные сведения об изученных блоках сведены в справку в конце руководства.', '[1.6 Переменные окружения]\nВыберите пункт Моделирование → Установить контекст в главном меню редактора. Задайте следующие переменные:  \nРис. 6. Окно задания переменных окружения  \n<!-- image -->  \nУстановите частоту генератора равной omega0 , интервал дискретизации равным stime и конечное время моделирования равным endtime .  \nПеременные окружения должны быть заданы перед их использованием. Значения переменных могут быть любой инструкцией, понятной Scilab.', '[1.4 Изменение параметров блока]\nДвойной ЛКМ (или ПКМ и выбор в контекстном меню пункта Параметры блока ) на блоке в окне графического редактора вызывает окно Ввод значений .  \nЭто окно позволяет менять параметры блока (если блок допускает изменение параметров).  \nВызовите окно Ввод значений для осциллографа на вашей диаграмме. Поменяйте значения переменных Ymin и Ymax , установив их равными -2 и 2 соответственно. Запустите моделирование.  \nРис. 4. Окно изменения параметров блока  \n<!-- image -->  \nОстановите моделирование и обратите внимание на график сигнала. Синусоида на нём выглядит «рваной». Чтобы сделать её более гладкой, надо уменьшить интевал взятия отсчётов. Для этого обратитесь к счётчику времени и измените параметр Sample time (интервал дискретизации), сделав его равным 0.1 . Запустите моделирование.  \nЗначение параметра может быть любой инструкцией, понятной Scilab. Вызовите окно изменения параметров генератора синусоиды и установите значение параметра Frequency (rad/s) (частота, рад/с) равным 2*%pi/5 .']",Инструмент визуального моделирования в среде Scilab называется **Xcos**.,Инструмент называется Xcos.,1.0,0.7797229447775128,0.9999999999,1.0,Markdown
"Когда срабатывает блок, имеющий управляющий вход?","['[1.3 Основные понятия]\nБлок может наследовать сигнал активации от предыдущего блока, т.е. срабатывать при поступлении на его регулярный вход сигнала данных. Также, блок может быть активным всегда (например, генератор гармонического сигнала).  \nПосле «срабатывания» блока значения на его выходе остаются неизменными до следующего момента активации.  \nБлок без входов, не получающий сигналов активации и не объявленный активным всегда, является константным блоком. Выход такого блока не зависит от времени, а сам блок «срабатывает» лишь единожды, на этапе инициализации.  \nТаким образом, выходные значения константных блоков не изменяются никогда, как бы часто вы к ним ни обращались. Выходные значения блоков, активных всегда, будут меняться так часто, как часто вы будете их запрашивать. В остальных случаях выходные значения будут меняться так часто, как часто блок будет получать сигнал активации: от входа активации или наследовать от предыдущего блока.', '[2.1 Осциллографы]\nДля графического отображения сигнала как функции времени в Xcos используются блоки CSCOPE и CMSCOPE из палитры Регистрирующие устройства . 四  \n<!-- image -->  \n<!-- image -->  \nБлок CSCOPE имеет один вход и отображает один или множество сигналов в единой системе координат. Скаляр (число) на входе осциллографа CSCOPE отображается как единственный сигнал (см. рис. 3), вектор - как множество сигналов.  \nФайл Сохранить как бавьте к диаграмме, состоящей из генератора, осциллографа и счётчика времени, блок INTEGRAL\\_f (интегратор) из палитры Системы с непрерывным временем и блок MUX (мультиплексор) из палитры Маршрутизация сигналов . 1/s MUX  \nСохраните вашу диаграмму под другим именем: → . До-  \nПодключите выход генератора к первому входу мультиплексора и ко входу интегратора, выход интегратора - ко второму входу мультиплексора и, наконец, выход мультиплексора ко входу осциллографа.', '[1.3 Основные понятия]\nЛюбая диаграмма Xcos содержит два типа соединений: регулярные (чёрные) и управляющие (красные). По регулярным соединениям передаются сигналы данных, а по управляющим - сигналы активации. Блоки также могут иметь регулярные и управляющие входы и выходы. Как правило регулярные входы и выходы блоков располагаются слева и справа от изображения блока, а управляющие сверху и снизу.  \nЕсли блок имеет управляющий вход, то он «срабатывает» каждый раз, когда на него поступает сигнал активации. Поведение блока, не имеющего управляющего входа, определяется его внутренними параметрами.  \nВ качестве основного источника сигналов активации мы будем использовать счётчик времени SampleCLK . Его особенность заключается в том, что все такие счётчики внутри одной диаграммы синхронизированы.']","Блок, имеющий управляющий вход, срабатывает каждый раз, когда на этот вход поступает сигнал активации. Сигналы активации передаются по управляющим соединениям (красные), и их источником может быть, например, счётчик времени `SampleCLK`. Таким образом, срабатывание блока происходит исключительно при получении сигнала активации на его управляющий вход.",Каждый раз при поступлении на него сигнала активации.,0.75,0.601939977892609,0.8333333332916666,1.0,Markdown
Какую функцию выполняет блок ENDBLK?,"['[1.5 Время моделирования]\nВыберите палитру Обработка событий и добавьте к диаграмме блок ENDBLK . Установите параметр блока Final simulation time (конечное время моделирования) равным 30 . Запустите моделирование. END  \nДругой способ задания конечного времени моделирования - выбрать пункт Моделирование → Установка в главном меню графического редактора и установить параметр Конечное время интегрирования равным нужному значению.  \nРис. 5. Окно изменения параметров моделирования  \n<!-- image -->  \nПри наличии блока ENDBLK система выберет в качестве конечного наименьшее значение из Final simulation time и Конечное время интегрирования .', '[1.3 Основные понятия]\nБлок может наследовать сигнал активации от предыдущего блока, т.е. срабатывать при поступлении на его регулярный вход сигнала данных. Также, блок может быть активным всегда (например, генератор гармонического сигнала).  \nПосле «срабатывания» блока значения на его выходе остаются неизменными до следующего момента активации.  \nБлок без входов, не получающий сигналов активации и не объявленный активным всегда, является константным блоком. Выход такого блока не зависит от времени, а сам блок «срабатывает» лишь единожды, на этапе инициализации.  \nТаким образом, выходные значения константных блоков не изменяются никогда, как бы часто вы к ним ни обращались. Выходные значения блоков, активных всегда, будут меняться так часто, как часто вы будете их запрашивать. В остальных случаях выходные значения будут меняться так часто, как часто блок будет получать сигнал активации: от входа активации или наследовать от предыдущего блока.', '[3.3 Обработка событий]\nENDBLK .  \n- Final simulation time - конечное время моделирования.']","Блок ENDBLK выполняет функцию установки конечного времени моделирования. Он определяет момент, в который симуляция завершится, задавая параметр **Final simulation time**. Если в настройках моделирования (например, в меню ""Моделирование → Установка"") указано другое значение времени интегрирования, система автоматически выбирает наименьшее из двух значений (параметра ENDBLK и параметра ""Конечное время интегрирования"") в качестве окончательного времени моделирования. Таким образом, блок ENDBLK служит для контроля момента завершения процесса симуляции.",Задаёт конечное время моделирования.,1.0,0.5929495738111429,0.8333333332916666,1.0,Markdown
Как называется инструмент визуального моделирования в среде Scilab?,"['Запустите моделирование. Значение параметра может быть любой инструкцией, понятной Scilab. Вызовите окно изменения параметров генератора синусоиды и установите значение параметра Frequency (rad/s) (частота, рад/с) равным 2*%pi/5 .', 'Николаев Б. И. Данное руководство предназначено для быстрого освоения Xcos - инструмента визуального моделирования Scilab.', '## ФГОБУ ВПО ПГУТИ кафедра ТОРС\n\n## Методическая разработка\n\nк лабораторным работам по курсу\n\n## Основы современных технологий беспроводной связи (ОСТБС)\n\nдля студентов дневной формы обучения специальности 11.03.02 (210700.62)\n\n## Визуальное моделирование в Scilab: Xcos\n\n(краткое руководство для начала работы)\n\nСоставитель:\n\nк.т.н. Чингаева А.']","Инструмент визуального моделирования в среде Scilab называется **Xcos**. Это указано в заголовке методической разработки: *""Визуальное моделирование в Scilab: Xcos (краткое руководство для начала работы)""*.",Инструмент называется Xcos.,1.0,0.7797229447775128,0.5833333333041666,1.0,Sentence Window
